City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,teknaf,20.8624,92.3058,27.06,87,12,0.65,BD,1749335226
270,parvatipuram,18.7833,83.4333,28.34,57,73,0.89,IN,1749335227
271,cacheu,12.2706,-16.1658,26.92,70,19,3.61,GW,1749335228
272,new norfolk,-42.7826,147.0587,7.5,93,90,0.95,AU,1749335231
273,dolores,-36.3132,-57.6792,11.47,73,94,1.98,AR,1749335088
274,dickinson,29.4608,-95.0513,33.36,69,40,6.69,US,1749335157
275,lagoa,39.05,-27.9833,18.3,87,0,4.74,PT,1749335234
276,benjamin hill,30.1667,-111.1,36.81,6,0,3.36,MX,1749335235
277,banda aceh,5.5577,95.3222,27.56,72,100,6.76,ID,1749335237
278,naze,28.3667,129.4833,24.51,97,73,3.75,JP,1749335238
279,anatuya,-28.4606,-62.8347,14.4,60,23,3.31,AR,1749335239
280,midvagur,62.0511,-7.1939,6.46,70,75,7.2,FO,1749335240
281,san miguel de cauri,-10.1,-76.5833,8.84,69,92,2.9,PE,1749335241
282,kroya,-7.6331,109.2461,24.68,80,100,2.31,ID,1749335242
283,gadzhiyevo,69.2551,33.3362,13.18,71,100,0.73,RU,1749335244
284,nishinoomote,30.7333,131.0,23.24,85,99,6.12,JP,1749335245
285,gamba,-2.65,10.0,23.33,92,13,2.03,GA,1749335246
286,inirida,3.8653,-67.9239,23.9,88,91,1.34,CO,1749335247
287,gorontalo,0.5412,123.0595,23.05,94,39,0.81,ID,1749335248
288,crescentino,45.1904,8.0999,20.38,82,99,1.34,IT,1749335249
289,bamboo flat,11.7,92.7167,27.76,80,100,7.68,IN,1749335251
290,thohoyandou,-22.9456,30.485,15.89,54,0,1.19,ZA,1749335252
291,telimele,10.9167,-13.3333,23.26,93,99,1.77,GN,1749335253
292,tryavna,42.8667,25.5,16.84,87,0,2.31,BG,1749335254
293,zeya,53.75,127.2667,12.92,78,35,1.32,RU,1749335256
294,lanzhou,36.0564,103.7922,20.62,33,100,1.14,CN,1749335257
295,nantucket,41.2835,-70.0995,17.06,100,100,3.6,US,1749335161
296,lorengau,-2.0226,147.2712,26.45,80,100,1.83,PG,1749335086
297,otjiwarongo,-20.4637,16.6477,11.74,46,0,1.63,NA,1749335260
298,bourg-de-peage,45.0283,5.0716,19.33,91,54,1.64,FR,1749335261
299,metro,-5.1131,105.3067,23.95,93,28,2.72,ID,1749335262
300,porbandar,21.6422,69.6093,28.47,77,2,5.03,IN,1749335264
301,parabel',58.6978,81.4825,10.33,83,60,4.01,RU,1749335266
302,talnakh,69.4865,88.3972,3.48,98,100,2.28,RU,1749335267
303,mombetsu,44.3525,143.3525,14.78,91,75,1.42,JP,1749335268
304,isiro,2.7739,27.616,18.89,99,100,0.13,CD,1749335269
305,trujillo,-8.116,-79.03,18.98,88,75,4.12,PE,1749335270
306,vila velha,-20.3297,-40.2925,23.97,78,75,2.06,BR,1749335214
307,kerikeri,-35.2268,173.9474,12.82,73,5,2.53,NZ,1749335273
308,anadyr,64.75,177.4833,7.28,65,81,4.0,RU,1749335274
309,akureyri,65.6835,-18.0878,3.96,75,100,5.14,IS,1749335275
310,milici,44.1711,19.0903,19.54,74,0,1.91,BA,1749335276
311,boundiali,9.5217,-6.4869,27.28,58,66,3.3,CI,1749335277
312,tisul',55.7611,88.3122,16.4,91,97,2.07,RU,1749335278
313,cabedelo,-6.9811,-34.8339,25.37,84,100,4.54,BR,1749335046
314,vila franca do campo,37.7167,-25.4333,18.27,99,6,1.51,PT,1749335281
315,santiago,-33.4569,-70.6483,14.54,64,0,1.55,CL,1749334654
316,boguchany,58.3814,97.4531,17.0,80,92,1.03,RU,1749335283
317,murun-kuren,49.6342,100.1625,11.77,84,56,1.93,MN,1749335285
318,millville,39.4021,-75.0393,26.77,74,20,1.54,US,1749335286
319,miracema do tocantins,-9.5618,-48.3967,26.98,42,19,1.68,BR,1749335287
320,suntar,62.1444,117.6319,11.16,51,45,1.38,RU,1749335288
321,laguna,38.421,-121.4238,36.08,36,0,2.57,US,1749335289
322,kijang,35.2442,129.2139,20.85,71,100,1.02,KR,1749335003
323,lashio,22.9333,97.75,20.3,99,91,0.32,MM,1749335291
324,rundu,-17.9333,19.7667,14.11,45,0,2.07,NA,1749335293
325,undurkhaan,47.3194,110.6556,14.57,42,6,2.4,MN,1749335294
326,manicore,-5.8092,-61.3003,26.91,76,88,0.34,BR,1749335295
327,lazaro cardenas,17.9583,-102.2,30.61,72,88,4.46,MX,1749335296
328,palmer,42.1584,-72.3287,19.18,82,100,3.09,US,1749335209
329,san patricio,28.017,-97.5169,33.97,64,10,8.41,US,1749335299
330,chul'man,56.8479,124.9104,6.35,98,100,1.98,RU,1749335301
331,mount gambier,-37.8333,140.7667,7.28,82,100,4.17,AU,1749335302
332,bria,6.5423,21.9863,20.5,90,61,1.86,CF,1749335303
333,port saint john's,-31.6229,29.5448,22.53,44,100,2.68,ZA,1749335304
334,chipata,-13.6333,32.65,14.36,72,6,1.97,ZM,1749335305
335,broken hill,-31.95,141.4333,8.38,67,55,6.23,AU,1749335308
336,aliwal north,-30.6937,26.7114,13.82,47,95,7.1,ZA,1749335224
337,mbandaka,0.0487,18.2603,22.91,83,40,1.23,CD,1749335310
338,shingu,33.7333,135.9833,20.97,74,100,2.05,JP,1749335311
339,pennadam,11.4,79.2333,29.07,63,100,5.15,IN,1749335312
340,hobyo,5.3505,48.5268,25.44,86,63,10.82,SO,1749335313
341,klyuchi,52.2667,79.1667,17.49,93,100,2.7,RU,1749335315
342,quellon,-43.1167,-73.6167,9.66,90,70,2.95,CL,1749335316
343,tamazunchale,21.2667,-98.7833,36.07,32,10,3.4,MX,1749335317
344,punta del este,-34.9667,-54.95,12.71,94,100,1.34,UY,1749335318
345,shizunai-furukawacho,42.3339,142.3669,15.3,82,68,1.1,JP,1749335319
346,kushiro,42.975,144.3747,17.53,94,40,1.03,JP,1749335320
347,gaigeturi,33.4644,126.3183,21.03,83,75,1.54,KR,1749335321
348,kitimat,54.0524,-128.6534,23.28,48,9,0.46,CA,1749335323
349,barcelos,41.5388,-8.6151,16.75,83,3,2.21,PT,1749335324
350,conceicao da barra,-18.5933,-39.7322,21.53,95,54,2.09,BR,1749335325
351,penugonda,16.6667,81.7333,28.32,69,37,2.21,IN,1749335326
352,katsuren-haebaru,26.3369,127.8719,28.38,88,40,2.57,JP,1749335327
353,fort william,56.8165,-5.1121,6.84,82,36,1.91,GB,1749335329
354,skovorodino,53.9833,123.9167,10.63,74,48,2.84,RU,1749335330
355,pemagatshel,27.038,91.4031,16.64,83,0,2.18,BT,1749335331
356,toktogul,41.8708,72.9402,17.22,72,79,0.78,KG,1749335333
357,walvis bay,-22.9575,14.5053,10.53,87,0,1.54,NA,1749335334
358,jaisalmer,26.9147,70.9181,29.63,41,0,11.2,IN,1749335337
359,xifeng,42.7372,124.7222,17.23,55,2,2.62,CN,1749335338
360,bellmere,-27.0875,152.923,15.76,72,0,1.48,AU,1749335339
361,nova vicosa,-17.8919,-39.3719,23.18,87,65,2.96,BR,1749335340
362,piraquara,-25.4417,-49.0633,16.16,97,100,3.6,BR,1749335341
363,vera,-29.4593,-60.2126,11.74,73,87,1.92,AR,1749335343
364,polovinnoye,54.7914,65.9864,9.22,75,0,3.32,RU,1749335344
